metro_minutes,metro_walking,total_area,living_area,kitchen_area,price,utilities_amount,utilities_included,prepayment_months,is_long_rental_term
14,1,33.0,,,30000.0,0.0,1,1.0,1
20,1,37.7,19.0,7.4,32000.0,0.0,1,1.0,1
20,1,38.0,19.0,9.0,35000.0,0.0,1,1.0,1
5,0,40.0,18.0,9.0,35000.0,0.0,1,1.0,1
29,1,27.0,,,35000.0,0.0,1,1.0,1
7,0,27.7,13.4,6.8,35000.0,0.0,1,1.0,1
20,1,40.0,19.0,7.0,35500.0,0.0,1,1.0,1
10,1,41.0,,,39000.0,0.0,1,1.0,1
15,0,52.2,30.2,9.0,47000.0,0.0,1,1.0,1
6,1,102.0,64.0,,330000.0,0.0,1,1.0,1
2,1,238.0,147.0,18.0,500000.0,0.0,1,1.0,1
4,1,234.0,151.0,27.0,500000.0,0.0,1,1.0,1
6,1,134.1,88.2,14.5,270000.0,0.0,1,1.0,1
5,1,108.0,71.0,12.0,230000.0,0.0,1,1.0,1
6,1,168.0,156.0,10.0,300000.0,0.0,1,1.0,1
8,1,160.0,110.0,15.0,150000.0,0.0,1,1.0,1
5,1,122.0,,,165000.0,0.0,1,1.0,1
5,1,133.0,113.0,10.0,170000.0,0.0,1,1.0,1
5,1,138.0,80.0,20.0,200000.0,0.0,1,1.0,0
5,1,126.0,78.0,10.0,350000.0,0.0,1,1.0,1
5,1,133.0,96.0,30.4,170000.0,0.0,1,1.0,1
4,1,145.0,12.0,,200000.0,0.0,1,1.0,1
6,1,40.0,23.0,7.0,45000.0,0.0,1,1.0,1
4,1,71.0,36.0,12.0,115000.0,0.0,1,1.0,1
5,1,74.0,58.0,9.0,120000.0,0.0,1,1.0,0
5,1,143.0,88.0,14.0,260000.0,0.0,1,1.0,1
4,1,133.0,54.0,30.0,270000.0,0.0,1,1.0,1
5,1,39.0,24.0,7.0,45000.0,0.0,1,1.0,1
10,1,80.0,55.0,10.0,100000.0,0.0,1,1.0,1
5,1,115.0,84.0,,110000.0,0.0,1,1.0,1
3,1,71.0,43.0,13.0,115000.0,0.0,1,1.0,1
15,1,110.0,72.0,10.0,120000.0,0.0,1,1.0,1
7,1,120.0,96.0,,150000.0,0.0,1,1.0,1
4,1,140.0,,,190000.0,0.0,1,1.0,1
6,1,85.0,53.0,10.0,270000.0,0.0,1,1.0,1
5,1,133.0,86.0,30.0,270000.0,0.0,1,1.0,1
7,1,312.0,135.0,20.0,550000.0,0.0,1,1.0,1
5,1,25.0,7.0,,48000.0,0.0,1,1.0,1
7,1,40.0,20.0,9.0,55000.0,0.0,1,1.0,1
7,1,61.0,39.0,13.0,70000.0,0.0,1,1.0,1
6,1,41.0,,,80000.0,0.0,1,1.0,1
7,1,41.0,32.0,,80000.0,0.0,1,1.0,1
4,1,122.0,70.0,11.0,150000.0,0.0,1,1.0,1
6,1,140.0,100.0,10.0,190000.0,0.0,1,1.0,1
4,1,130.0,89.0,11.0,200000.0,0.0,1,1.0,1
6,1,168.0,,,250000.0,0.0,1,1.0,1
6,1,160.0,,,270000.0,0.0,1,1.0,1
6,1,85.0,10.0,,270000.0,0.0,1,1.0,1
5,1,235.0,45.0,,299000.0,0.0,1,1.0,1
4,1,174.0,,,300000.0,0.0,1,1.0,1
6,1,168.0,,,300000.0,0.0,1,1.0,1
5,1,126.0,68.0,10.0,350000.0,0.0,1,1.0,1
4,1,220.0,,,700000.0,0.0,1,1.0,1
6,1,170.0,140.0,15.0,950000.0,0.0,1,1.0,1
0,1,25.0,15.0,5.0,48000.0,0.0,1,1.0,1
0,1,38.0,16.0,6.0,50000.0,0.0,1,1.0,1
7,1,61.0,,,70000.0,0.0,1,1.0,1
10,1,78.9,40.0,12.0,89000.0,0.0,1,1.0,1
6,1,80.0,43.0,10.0,100000.0,0.0,1,1.0,1
5,1,115.0,84.0,6.0,110000.0,0.0,1,1.0,1
5,1,75.0,45.0,14.0,130000.0,0.0,1,1.0,1
3,1,72.0,15.0,,160000.0,0.0,1,,1
5,1,100.0,,,180000.0,0.0,1,1.0,1
6,1,120.0,93.0,14.0,185000.0,0.0,1,1.0,1
7,1,120.0,,,185000.0,0.0,1,1.0,1
4,1,134.0,106.0,12.0,200000.0,0.0,1,1.0,1
6,1,76.0,49.0,25.0,200000.0,0.0,1,1.0,1
2,1,116.0,,,250000.0,0.0,1,1.0,1
7,1,123.0,68.0,19.0,250000.0,0.0,1,1.0,1
5,1,143.0,88.0,14.0,260000.0,0.0,1,1.0,1
10,1,170.0,107.0,12.0,270000.0,0.0,1,1.0,1
9,1,85.0,55.0,9.0,270000.0,0.0,1,1.0,1
5,1,160.0,,,,0.0,1,1.0,1
5,1,150.0,65.0,14.0,300000.0,0.0,1,1.0,1
7,1,130.0,77.0,11.0,300000.0,0.0,1,1.0,1
