id,ceiling_height,metro_minutes,metro_walking,total_area,living_area,kitchen_area,price,utilities_amount,utilities_included,prepayment_months,is_long_rental_term,rooms_count,types_room,floor,house_floor,house_type,parking,renovation,count_loggia,count_balcony,view_of_courtyard,view_of_street,combined_bathroom_count,separate_bathroom_count,is_child,is_pet,room_furniture,kitchen_furniture,bath,shower_cabin,washing_machine,air_conditioner,dishwasher,tv,fridge,internet,telephone,count_passenger_lift,count_freight_lift,is_garbage_chute
273078340,3.0,6,1,90.0,70.0,10.0,145000.0,0.0,1,1.0,1,3.0,,7,12,5.0,,3.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,1.0
274359655,,7,1,180.0,,,350000.0,0.0,1,1.0,1,4.0,", Изолированная",3,4,5.0,4.0,2.0,,,,,0.0,3.0,,,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,
272226556,,10,1,180.0,,,400000.0,0.0,1,1.0,1,4.0,,2,3,,,3.0,0.0,1.0,,,,,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,,
274319903,,3,1,75.0,47.0,12.0,99000.0,0.0,1,1.0,1,3.0,", Изолированная",9,10,5.0,1.0,1.0,,,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,
273427928,,11,1,87.0,54.0,10.0,100000.0,0.0,1,1.0,1,3.0,,3,7,5.0,,3.0,,,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,
274296188,3.0,8,1,105.0,51.0,12.0,180000.0,0.0,1,1.0,1,3.0,,9,9,5.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
272887177,3.2,5,1,99.0,68.0,12.0,200000.0,0.0,1,1.0,1,3.0,", Оба варианта",3,9,5.0,4.0,,1.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,
269319175,3.5,7,1,60.0,33.0,10.0,250000.0,0.0,1,1.0,1,1.0,,2,11,9.0,4.0,,,,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,
269687656,,6,1,140.0,66.0,27.0,280000.0,0.0,1,1.0,1,4.0,,4,6,,,2.0,,,1.0,0.0,2.0,0.0,,,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,
274501292,,0,1,120.0,,,300000.0,0.0,1,,1,3.0,,3,5,,,3.0,,,1.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,
261980888,2.8,6,1,133.0,77.0,8.0,400000.0,0.0,1,1.0,1,3.0,", Оба варианта",5,13,9.0,4.0,,,,1.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,
272567246,,4,1,180.0,89.0,13.0,400000.0,0.0,1,1.0,1,4.0,,2,4,8.0,,,0.0,1.0,1.0,0.0,3.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,
274930877,,5,1,219.0,116.0,25.0,450000.0,0.0,1,1.0,1,4.0,", Оба варианта",5,9,9.0,4.0,,1.0,0.0,,,2.0,1.0,,,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,,,
273576298,,6,1,130.0,89.0,10.0,450000.0,0.0,1,1.0,1,3.0,", Оба варианта",3,8,5.0,4.0,,0.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,,
271108834,3.0,8,1,180.0,70.0,20.0,500000.0,0.0,1,1.0,1,5.0,,7,7,8.0,4.0,3.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
256631457,3.2,8,1,190.0,105.0,15.0,520000.0,0.0,1,1.0,1,4.0,", Оба варианта",7,7,5.0,0.0,,0.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,
271988698,,9,1,174.0,,,550000.0,0.0,1,1.0,1,3.0,,10,16,9.0,,3.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,0.0,1.0
274066192,,8,1,52.0,31.0,10.0,80000.0,0.0,1,1.0,1,2.0,", Изолированная",11,24,0.0,0.0,,,,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,,,
273763131,,4,1,91.0,,,95000.0,0.0,1,1.0,1,3.0,,9,10,,,0.0,,,,,0.0,1.0,,,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,
273684904,,9,1,56.0,35.0,8.0,105000.0,0.0,1,1.0,1,2.0,,7,16,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,
271542995,3.2,8,1,80.0,44.0,10.0,120000.0,0.0,1,1.0,1,3.0,", Оба варианта",5,6,7.0,0.0,,0.0,2.0,1.0,0.0,1.0,0.0,,,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,
273012299,3.2,8,1,94.0,42.0,12.0,135000.0,0.0,1,1.0,1,2.0,", Оба варианта",5,5,5.0,,,,,1.0,1.0,1.0,0.0,,,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,
270282698,3.0,7,1,40.0,24.0,9.0,135000.0,0.0,1,1.0,1,2.0,", Изолированная",21,26,9.0,,,,,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,3.0,
274336333,5.5,0,1,94.0,64.0,9.0,145000.0,0.0,1,1.0,1,3.0,", Оба варианта",4,4,5.0,0.0,2.0,,,1.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,,,
272244255,,6,1,90.0,10.0,,145000.0,0.0,1,2.0,1,3.0,", Оба варианта",4,12,5.0,0.0,,,,0.0,1.0,0.0,1.0,,,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,,
272701749,3.0,7,1,120.0,86.0,10.0,165000.0,0.0,1,1.0,1,2.0,,4,4,7.0,0.0,,,,0.0,1.0,1.0,0.0,,,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,,,
271204399,,7,1,170.0,109.0,18.0,175000.0,0.0,1,1.0,1,5.0,,5,5,,,2.0,,,1.0,0.0,,,,,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,
274879736,3.2,5,1,140.0,53.0,10.0,180000.0,0.0,1,1.0,1,3.0,,4,6,7.0,1.0,1.0,,,1.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
