id,ceiling_height,metro_minutes,metro_walking,total_area,living_area,kitchen_area,price,utilities_amount,utilities_included,prepayment_months,is_long_rental_term,ceiling_height_known,rooms_count,types_room,floor,house_floor,house_type,parking,renovation,count_loggia,count_balcony,view_of_courtyard,view_of_street,combined_bathroom_count,separate_bathroom_count,is_child,is_pet,room_furniture,kitchen_furniture,bath,shower_cabin,washing_machine,air_conditioner,dishwasher,tv,fridge,internet,telephone,count_passenger_lift,count_freight_lift,is_garbage_chute,living_area_known,kitchen_area_known
267110043,3.0,7,1,100.0,34.0,12.0,320000.0,0.0,1,1.0,1,1,2.0,,5,7,8.0,,,0.0,1.0,0.0,1.0,0.0,2.0,1,0,1,1,1,1.0,1,0.0,1.0,1.0,1,1,1,1.0,1.0,0.0,0,0
265323319,3.15,7,1,133.3,58.0,14.0,400000.0,0.0,1,1.0,1,1,3.0,,5,13,8.0,4.0,,,,,,0.0,2.0,1,0,1,1,1,1.0,1,0.0,1.0,1.0,1,1,1,1.0,1.0,0.0,0,0
265804792,3.8,7,1,210.0,81.0,15.0,400000.0,0.0,1,1.0,1,1,4.0,,3,5,,,,0.0,1.0,1.0,1.0,0.0,3.0,0,1,1,1,1,1.0,1,0.0,1.0,1.0,1,1,1,0.0,0.0,,0,0
239000408,2.64,9,1,180.0,81.0,15.0,450000.0,0.0,1,1.0,1,0,4.0,,4,4,,,,,,,,0.0,2.0,1,1,1,1,1,1.0,1,0.0,1.0,1.0,1,1,1,0.0,0.0,,0,0
271209314,3.35,5,1,165.0,91.0,16.0,470000.0,0.0,1,1.0,1,1,4.0,,9,16,8.0,,,,,,,0.0,2.0,0,1,1,1,1,1.0,1,0.0,1.0,1.0,1,1,1,1.0,1.0,0.0,0,0
269889430,2.64,6,1,190.0,81.0,15.0,590000.0,0.0,1,1.0,1,1,4.0,,4,6,,,,,,,,0.0,2.0,0,1,1,1,1,1.0,1,0.0,1.0,1.0,1,1,1,1.0,0.0,,0,0
272823500,2.64,7,1,85.0,50.0,10.0,150000.0,0.0,1,1.0,1,0,3.0,", Изолированная",7,7,5.0,4.0,2.0,0.0,1.0,,,1.0,0.0,0,0,1,1,0,0.0,1,0.0,1.0,1.0,1,1,1,1.0,0.0,1.0,0,0
274402813,2.64,5,1,105.0,70.0,15.0,195000.0,0.0,1,1.0,1,0,3.0,,6,17,8.0,4.0,2.0,,,1.0,1.0,3.0,0.0,1,1,1,1,0,0.0,1,0.0,0.0,1.0,1,0,1,1.0,1.0,1.0,1,1
270190788,2.64,5,1,134.0,55.0,15.0,300000.0,0.0,1,1.0,1,0,3.0,", Оба варианта",8,16,9.0,4.0,2.0,0.0,1.0,,,0.0,2.0,1,1,1,1,0,0.0,1,0.0,1.0,1.0,1,1,1,1.0,0.0,0.0,0,0
271265359,3.2,5,1,60.0,31.0,9.0,90000.0,0.0,1,1.0,1,1,2.0,", Оба варианта",5,6,,0.0,2.0,,,1.0,1.0,1.0,0.0,1,0,1,1,1,1.0,1,1.0,1.0,1.0,1,1,1,1.0,0.0,,1,1
274289253,2.64,7,1,85.0,50.0,10.0,150000.0,0.0,1,1.0,1,0,3.0,,7,7,,,3.0,0.0,1.0,,,1.0,0.0,0,0,1,1,1,0.0,0,1.0,0.0,1.0,1,0,0,1.0,0.0,,0,0
274150874,2.64,4,1,150.0,103.0,18.0,250000.0,0.0,1,1.0,1,0,5.0,,4,6,,,3.0,,,,,1.0,0.0,0,0,1,1,1,1.0,1,1.0,1.0,1.0,1,0,0,1.0,0.0,,0,0
